term,int_rate,installment,dti,home_ownership,purpose,verification_status,loan_status,term_num,int_rate_num,risk_flag
 36 months,0.0788,148.59,0.216,OWN,car,Not Verified,Charged Off,36.0,0.0788,1
 36 months,0.0705,148.32,0.0737,OWN,car,Not Verified,Charged Off,36.0,0.0705,1
 36 months,0.1189,50.58,0.0812,OWN,car,Not Verified,Charged Off,36.0,0.1189,1
 36 months,0.1074,60.34,0.051,OWN,car,Not Verified,Charged Off,36.0,0.1074,1
 36 months,0.1284,141.2,0.1021,OWN,car,Not Verified,Charged Off,36.0,0.1284,1
 36 months,0.0749,186.61,0.2585,RENT,car,Not Verified,Charged Off,36.0,0.0749,1
 36 months,0.089,228.63,0.1872,RENT,car,Not Verified,Charged Off,36.0,0.089,1
 36 months,0.0849,75.76,0.0526,RENT,car,Not Verified,Charged Off,36.0,0.0849,1
 36 months,0.0705,231.75,0.0,RENT,car,Not Verified,Charged Off,36.0,0.0705,1
 36 months,0.1136,182.66,0.0159,RENT,car,Not Verified,Charged Off,36.0,0.1136,1
 36 months,0.1148,725.31,0.0056,RENT,car,Not Verified,Charged Off,36.0,0.1148,1
 36 months,0.1199,332.1,0.1464,RENT,car,Not Verified,Charged Off,36.0,0.1199,1
 36 months,0.1095,261.71,0.2298,RENT,car,Not Verified,Charged Off,36.0,0.1095,1
 36 months,0.1099,163.68,0.174,RENT,car,Not Verified,Charged Off,36.0,0.1099,1
 36 months,0.1221,106.61,0.1688,RENT,car,Not Verified,Charged Off,36.0,0.1221,1
 36 months,0.1241,200.47,0.1753,RENT,car,Not Verified,Charged Off,36.0,0.1241,1
 36 months,0.1134,98.7,0.0772,RENT,car,Not Verified,Charged Off,36.0,0.1134,1
 36 months,0.1399,382.74,0.135,RENT,car,Not Verified,Charged Off,36.0,0.1399,1
 36 months,0.1367,136.08,0.14,RENT,car,Not Verified,Charged Off,36.0,0.1367,1
 36 months,0.1677,106.62,0.1287,RENT,car,Not Verified,Charged Off,36.0,0.1677,1
 36 months,0.1,193.61,0.1529,MORTGAGE,car,Not Verified,Charged Off,36.0,0.1,1
 36 months,0.0807,313.67,0.0072,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0807,0
 36 months,0.0863,316.28,0.0894,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0863,0
 36 months,0.0976,257.24,0.1872,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0976,0
 36 months,0.0976,192.93,0.0484,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0976,0
 36 months,0.1393,170.72,0.2257,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1393,0
 36 months,0.0863,142.33,0.0,OWN,car,Not Verified,Fully Paid,36.0,0.0863,0
 36 months,0.0807,345.06,0.1407,RENT,car,Not Verified,Fully Paid,36.0,0.0807,0
 36 months,0.0712,108.27,0.0,RENT,car,Not Verified,Fully Paid,36.0,0.0712,0
 36 months,0.1046,194.91,0.0506,RENT,car,Not Verified,Fully Paid,36.0,0.1046,0
 36 months,0.092,175.42,0.1674,RENT,car,Not Verified,Fully Paid,36.0,0.092,0
 36 months,0.1166,115.69,0.1238,RENT,car,Not Verified,Fully Paid,36.0,0.1166,0
 36 months,0.1091,130.79,0.18,RENT,car,Not Verified,Fully Paid,36.0,0.1091,0
 36 months,0.1103,98.26,0.1692,RENT,car,Not Verified,Fully Paid,36.0,0.1103,0
 36 months,0.074,136.66,0.0239,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.074,0
 36 months,0.0768,265.13,0.0223,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0768,0
 36 months,0.0768,155.96,0.0578,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0768,0
 36 months,0.0662,214.93,0.0994,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0662,0
 36 months,0.0599,60.84,0.1129,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0599,0
 36 months,0.0699,74.1,0.0319,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0699,0
 36 months,0.0749,149.29,0.0242,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0749,0
 36 months,0.0729,124.04,0.2127,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0729,0
 36 months,0.0542,241.28,0.0283,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0542,90.48,0.0161,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0603,243.49,0.025,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0603,0
 36 months,0.0542,150.8,0.0218,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0542,96.52,0.0651,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0542,223.19,0.2075,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0603,152.18,0.1782,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0603,0
 36 months,0.0603,152.18,0.1872,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0603,0
 36 months,0.0603,182.62,0.238,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0603,0
 36 months,0.0603,182.62,0.2407,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0603,0
 36 months,0.0542,271.44,0.2293,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0603,219.14,0.1658,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0603,0
 36 months,0.0542,170.41,0.1732,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0599,182.51,0.1406,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0599,0
 36 months,0.0676,107.69,0.1976,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0676,0
 36 months,0.0676,123.07,0.0618,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0676,0
 36 months,0.0751,186.67,0.2935,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0751,0
 36 months,0.0774,218.54,0.0429,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0774,0
 36 months,0.0774,156.1,0.0234,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0774,0
 36 months,0.0751,56.0,0.2692,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0751,0
 36 months,0.0692,308.41,0.203,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0692,0
 36 months,0.0729,201.57,0.1988,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0729,0
 36 months,0.0749,155.51,0.1433,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0749,0
 36 months,0.0749,248.82,0.0286,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0749,0
 36 months,0.0749,248.82,0.1825,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0749,0
 36 months,0.0932,255.58,0.0518,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0932,0
 36 months,0.0751,186.66,0.1831,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0751,0
 36 months,0.0749,93.31,0.1916,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0749,0
 36 months,0.0963,481.42,0.1257,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0963,0
 36 months,0.0705,268.83,0.0267,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0705,0
 36 months,0.0542,168.9,0.04,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0617,54.9,0.1997,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0617,0
 36 months,0.0749,217.72,0.1883,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0749,0
 36 months,0.0639,140.76,0.052,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0639,0
 36 months,0.074,62.12,0.1004,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.074,0
 36 months,0.0662,116.68,0.1207,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0662,0
 36 months,0.0579,151.64,0.1129,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0579,0
 36 months,0.08,313.37,0.0036,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.08,0
 36 months,0.0603,91.31,0.0118,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0603,0
 36 months,0.0705,494.4,0.064,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0705,0
 36 months,0.0542,39.21,0.067,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0676,138.46,0.0829,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0676,0
 36 months,0.08,156.69,0.0428,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.08,0
 36 months,0.08,282.03,0.0898,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.08,0
 36 months,0.0859,63.23,0.1596,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0859,0
 36 months,0.0603,121.75,0.1753,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0603,0
 36 months,0.0542,105.56,0.0585,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0542,180.96,0.044,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.074,155.3,0.0317,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.074,0
 36 months,0.0714,247.52,0.0329,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0714,0
 36 months,0.0932,95.85,0.0833,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0932,0
 36 months,0.079,187.75,0.2009,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.079,0
 36 months,0.0542,120.64,0.0725,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0692,172.71,0.0061,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0692,0
 36 months,0.08,125.35,0.0507,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.08,0
 36 months,0.0729,94.59,0.014,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0729,0
 36 months,0.0542,180.96,0.1429,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0692,154.21,0.0217,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0692,0
 36 months,0.0691,280.61,0.234,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0691,0
 36 months,0.0542,235.25,0.0524,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0542,135.72,0.109,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0599,179.47,0.205,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0599,0
 36 months,0.0749,62.21,0.2712,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0749,0
 36 months,0.0729,93.03,0.0737,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0729,0
 36 months,0.0542,108.58,0.15,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0603,167.4,0.1085,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0603,0
 36 months,0.0766,183.97,0.1734,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0766,0
 36 months,0.0542,120.64,0.1927,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0737,372.55,0.101,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0737,0
 36 months,0.0788,312.81,0.0909,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0788,0
 36 months,0.0603,121.75,0.0271,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0603,0
 36 months,0.08,250.69,0.0432,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.08,0
 36 months,0.0542,150.8,0.2096,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0662,92.12,0.1632,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0662,0
 36 months,0.0729,124.04,0.1041,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0729,0
 36 months,0.0849,252.51,0.1647,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0849,0
 36 months,0.0766,65.48,0.1887,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0766,0
 36 months,0.0705,247.2,0.0173,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0705,0
 36 months,0.0542,180.96,0.0476,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0676,135.38,0.101,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0676,0
 36 months,0.0579,150.88,0.104,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0579,0
 36 months,0.0676,64.62,0.0281,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0676,0
 36 months,0.0579,145.57,0.1387,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0579,0
 36 months,0.0579,121.31,0.0885,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0579,0
 36 months,0.0599,91.26,0.2255,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0599,0
 36 months,0.0676,59.23,0.1527,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0676,0
 36 months,0.0751,248.89,0.0858,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0751,0
 36 months,0.0542,150.8,0.0514,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0603,45.66,0.1446,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0603,0
 36 months,0.0639,146.88,0.1452,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0639,0
 36 months,0.0788,344.09,0.2297,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0788,0
 36 months,0.0662,184.23,0.1034,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0662,0
 36 months,0.0662,237.96,0.2038,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0662,0
 36 months,0.074,139.77,0.1276,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.074,0
 36 months,0.0692,185.05,0.089,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0692,0
 36 months,0.0599,292.01,0.016,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0599,0
 36 months,0.0579,242.62,0.0728,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0579,0
 36 months,0.0714,46.41,0.048,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0714,0
 36 months,0.0542,60.32,0.0188,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.074,496.95,0.2152,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.074,0
 36 months,0.0699,154.37,0.1452,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0699,0
 36 months,0.0751,186.67,0.1072,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0751,0
 36 months,0.0751,121.33,0.1048,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0751,0
 36 months,0.0751,342.21,0.0803,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0751,0
 36 months,0.0542,180.96,0.0807,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0579,181.97,0.0137,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0579,0
 36 months,0.0599,121.67,0.1529,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0599,0
 36 months,0.0691,252.86,0.1018,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0691,0
 36 months,0.0542,90.48,0.0145,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.074,124.24,0.1724,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.074,0
 36 months,0.0599,91.26,0.1462,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0599,0
 36 months,0.0774,185.76,0.1139,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0774,0
 36 months,0.0751,298.65,0.0989,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0751,0
 36 months,0.0751,155.56,0.1019,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0751,0
 36 months,0.079,159.59,0.092,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.079,0
 36 months,0.0699,216.11,0.0559,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0699,0
 36 months,0.0832,78.72,0.0658,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0832,0
 36 months,0.089,111.14,0.1976,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.089,0
 36 months,0.0774,218.54,0.0317,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0774,0
 36 months,0.0662,159.66,0.0908,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0662,0
 36 months,0.0599,127.76,0.1465,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0599,0
 36 months,0.0699,37.05,0.131,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0699,0
 36 months,0.0603,109.57,0.1524,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0603,0
 36 months,0.0542,90.48,0.1035,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0542,0
 36 months,0.0676,123.08,0.1276,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0676,0
 36 months,0.0788,145.46,0.1593,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0788,0
 36 months,0.0849,45.77,0.1605,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0849,0
 36 months,0.0692,74.02,0.2488,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0692,0
 36 months,0.0749,186.61,0.0878,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0749,0
 36 months,0.0714,216.59,0.1166,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0714,0
 36 months,0.0774,249.75,0.1547,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0774,0
 36 months,0.0599,228.14,0.026,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0599,0
 36 months,0.0579,127.38,0.0757,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0579,0
 36 months,0.0662,153.52,0.1124,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0662,0
 36 months,0.0676,184.61,0.211,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0676,0
 36 months,0.0751,171.11,0.0877,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0751,0
 36 months,0.0894,142.98,0.096,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0894,0
 36 months,0.0579,193.34,0.0398,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0579,0
 36 months,0.0662,128.96,0.1984,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0662,0
 36 months,0.0699,111.15,0.0982,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0699,0
 36 months,0.0662,294.76,0.2227,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0662,0
 36 months,0.0768,155.96,0.1409,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0768,0
 36 months,0.0579,90.99,0.0764,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0579,0
 36 months,0.0714,222.78,0.1309,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0714,0
 36 months,0.0751,264.45,0.1149,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0751,0
 36 months,0.0714,123.77,0.0068,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0714,0
 36 months,0.0925,111.71,0.0913,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0925,0
 36 months,0.1075,166.37,0.2288,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1075,0
 36 months,0.0999,309.72,0.0764,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0999,0
 36 months,0.1199,149.45,0.0762,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1199,0
 36 months,0.1036,129.75,0.1929,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1036,0
 36 months,0.1025,362.71,0.2183,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1025,0
 36 months,0.1099,294.61,0.1731,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1099,0
 36 months,0.1074,136.99,0.2493,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1074,0
 36 months,0.1148,118.69,0.1123,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1148,0
 36 months,0.1149,164.86,0.1775,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1149,0
 36 months,0.1111,98.38,0.1704,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1111,0
 36 months,0.1099,106.39,0.0231,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1099,0
 36 months,0.1126,98.59,0.1721,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1126,0
 36 months,0.0991,161.13,0.1865,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0991,0
 36 months,0.1218,399.6,0.0903,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1218,0
 36 months,0.1,484.01,0.0539,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1,0
 36 months,0.1059,99.27,0.0549,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1059,0
 36 months,0.1099,108.03,0.1125,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1099,0
 36 months,0.1075,182.68,0.1896,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1075,0
 36 months,0.0962,385.07,0.0729,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0962,0
 36 months,0.1242,160.4,0.0964,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1242,0
 36 months,0.0999,122.6,0.2402,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0999,0
 36 months,0.1075,55.46,0.1532,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1075,0
 36 months,0.1114,278.85,0.2309,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1114,0
 36 months,0.1111,181.17,0.1459,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1111,0
 36 months,0.1037,389.3,0.0465,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1037,0
 36 months,0.1158,82.54,0.1451,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1158,0
 36 months,0.0999,193.58,0.1268,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0999,0
 36 months,0.0988,289.9,0.106,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0988,0
 36 months,0.1062,244.2,0.1,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1062,0
 36 months,0.0976,578.79,0.0886,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0976,0
 36 months,0.1253,117.14,0.0691,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1253,0
 36 months,0.0999,193.58,0.2058,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.0999,0
 36 months,0.1065,57.01,0.2128,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1065,0
 36 months,0.1051,174.73,0.198,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1051,0
 36 months,0.1287,319.52,0.025,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1287,0
 36 months,0.1273,201.4,0.1761,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1273,0
 36 months,0.138,136.33,0.1429,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.138,0
 36 months,0.1472,165.74,0.1165,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1472,0
 36 months,0.1347,122.13,0.1528,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1347,0
 36 months,0.1523,264.32,0.0961,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1523,0
 36 months,0.1426,343.06,0.0895,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1426,0
 36 months,0.1268,83.86,0.0492,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1268,0
 36 months,0.1311,215.97,0.1915,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1311,0
 36 months,0.1417,171.31,0.1406,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1417,0
 36 months,0.1596,196.77,0.118,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1596,0
